Date,open,high,low,close,volume,adjusted,rmrf,SMB,HML,RF
2014-01-31,60.47000122,63.36999893,60.16999817,62.56999969,87794600,62.44168854,-0.0332,0.0089,-0.0207,0
2014-02-28,69.47000122,69.87999725,67.37999725,68.45999908,66783700,68.3196106,0.0465,0.0035,-0.0031,0
2014-03-31,60.77999878,61.52000046,59.86999893,60.24000168,53011000,60.11646652,0.0043,-0.0181,0.0493,0
2014-04-30,57.58000183,59.84999847,57.15999985,59.77999878,76093000,59.65740585,-0.0019,-0.0419,0.0117,0
2014-05-30,63.95000076,64.16999817,62.56000137,63.29999924,45253500,63.1701889,0.0206,-0.0188,-0.0013,0
2014-06-30,67.45999908,67.91999817,67.12999725,67.29000092,27102800,67.15200806,0.0261,0.0309,-0.007,0
2014-07-31,74,74.16999817,72.44000244,72.65000153,43992000,72.50101471,-0.0204,-0.0429,3.00E-04,0
2014-08-29,74.30000305,74.81999969,74.01000214,74.81999969,26241000,74.66656494,0.0424,0.004,-0.0045,0
2014-09-30,79.34999847,79.70999908,78.59999847,79.04000092,35899000,78.87791443,-0.0197,-0.0371,-0.0134,0
2014-10-31,74.93000031,75.69999695,74.44999695,74.98999786,44544000,74.83621979,0.0252,0.0421,-0.0181,0
2014-11-28,77.66999817,78.26999664,77.23000336,77.69999695,15992000,77.54064941,0.0255,-0.0206,-0.0309,0
2014-12-31,79.54000092,79.80000305,77.86000061,78.01999664,19935400,77.86000061,-6.00E-04,0.0249,0.0227,0
2015-01-30,78,78.16000366,75.75,75.91000366,42649500,75.7543335,-0.0311,-0.0056,-0.0358,0
2015-02-27,80.68000031,81.23000336,78.62000275,78.97000122,30739200,78.80805206,0.0613,0.0063,-0.0186,0
2015-03-31,82.90000153,83.5,82.20999908,82.22000122,19734300,82.0513916,-0.0112,0.0304,-0.0037,0
2015-04-30,80.01000214,80.95999908,78.31999969,78.76999664,28999000,78.60845947,0.0059,-0.0306,0.0182,0
2015-05-29,79.94999695,80.06999969,78.87999725,79.19000244,16134600,79.02761078,0.0136,0.0093,-0.0114,0
2015-06-30,86.59999847,86.69999695,85.56999969,85.76999664,23016500,85.59410095,-0.0153,0.0291,-0.0079,0
2015-07-31,94.94999695,96.33000183,93.94999695,94.01000214,46509000,93.81721497,0.0154,-0.0417,-0.0413,0
2015-08-31,90.59999847,91.05000305,88.88999939,89.43000031,32850700,89.24660492,-0.0604,0.0033,0.0277,0
2015-09-30,88.44000244,90.01999664,88.01000214,89.90000153,36169100,89.71563721,-0.0307,-0.0262,0.0056,0
2015-10-30,104.5100021,104.7200012,101.6500015,101.9700012,33487100,101.7608871,0.0775,-0.0188,-0.0046,0
2015-11-30,105.8399963,106.0999985,103.75,104.2399979,20383200,104.0262299,0.0056,0.036,-0.0042,0
2015-12-31,106,106.1699982,104.6200027,104.6600037,18391100,104.4453735,-0.0217,-0.0284,-0.0261,1.00E-04
2016-01-29,108.9899979,112.8399963,108.8399963,112.2099991,62739500,111.9798889,-0.0577,-0.0342,0.0209,1.00E-04
2016-02-29,107.5999985,108.9100037,106.75,106.9199982,32779000,106.700737,-7.00E-04,0.0073,-0.0057,2.00E-04
2016-03-31,114.6999969,115.0100021,113.7699966,114.0999985,21207500,113.8660126,0.0696,0.0082,0.0119,2.00E-04
