date,unemp,GDP,gGDP
1948-01-01,3.3,2239.682,1.506037747
1948-04-01,3.3,2276.69,1.652377436
1948-07-01,3.3,2289.77,0.57451827
1948-10-01,3.5,2292.364,0.113286487
1949-01-01,4.1,2260.807,-1.376613836
1949-04-01,5.3,2253.128,-0.339657476
1949-07-01,6.1,2276.424,1.033940371
1949-10-01,6.4,2257.352,-0.837805259
1950-01-01,5.8,2346.104,3.93168633
1950-04-01,5.1,2417.682,3.050930394
1950-07-01,4.2,2511.127,3.865065794
1950-10-01,3.8,2559.214,1.91495691
1951-01-01,3.2,2593.967,1.357955997
1951-04-01,2.8,2638.898,1.732134603
1951-07-01,2.8,2693.259,2.059988677
1951-10-01,3,2699.156,0.218954063
1952-01-01,2.7,2727.954,1.066926106
1952-04-01,2.6,2733.8,0.214299801
1952-07-01,2.8,2753.517,0.721230522
1952-10-01,2.4,2843.941,3.283945587
1953-01-01,2.4,2896.811,1.859039973
1953-04-01,2.3,2919.206,0.773091513
1953-07-01,2.4,2902.785,-0.562515972
1953-10-01,3.3,2858.845,-1.513718722
1954-01-01,4.7,2845.192,-0.477570487
1954-04-01,5.3,2848.305,0.109412651
1954-07-01,5.5,2880.482,1.129689412
1954-10-01,4.9,2936.852,1.956964147
1955-01-01,4.3,3020.746,2.85659611
1955-04-01,4,3069.91,1.627544984
1955-07-01,3.7,3111.379,1.35082136
1955-10-01,3.7,3130.068,0.600666135
1956-01-01,3.6,3117.922,-0.388042688
1956-04-01,3.7,3143.694,0.826576162
1956-07-01,3.7,3140.874,-0.089703387
1956-10-01,3.6,3192.57,1.645911297
1957-01-01,3.5,3213.011,0.640267872
1957-04-01,3.6,3205.97,-0.219140239
1957-07-01,3.7,3237.386,0.979921833
1957-10-01,4.4,3203.894,-1.034538359
1958-01-01,5.7,3120.724,-2.59590361
1958-04-01,6.8,3141.224,0.656898848
1958-07-01,6.6,3213.884,2.313111068
1958-10-01,5.7,3289.032,2.338230005
1959-01-01,5.3,3352.129,1.918406388
1959-04-01,4.5,3427.667,2.253433564
1959-07-01,4.6,3430.057,0.069726727
1959-10-01,4.9,3439.832,0.284980687
1960-01-01,4.5,3517.181,2.248627259
1960-04-01,4.6,3498.246,-0.538357281
1960-07-01,4.9,3515.385,0.48993124
1960-10-01,5.5,3470.278,-1.283131151
1961-01-01,6,3493.703,0.675017967
1961-04-01,6.3,3553.021,1.697854683
1961-07-01,5.9,3621.252,1.920365796
1961-10-01,5.4,3692.289,1.96166961
1962-01-01,4.8,3758.147,1.783663196
1962-04-01,4.8,3792.149,0.904754391
1962-07-01,4.9,3838.776,1.229566665
1962-10-01,4.8,3851.421,0.329401872
1963-01-01,5,3893.482,1.092090426
1963-04-01,4.8,3937.183,1.122414332
1963-07-01,4.6,4023.755,2.198830992
1963-10-01,4.7,4050.147,0.655904746
1964-01-01,4.6,4135.553,2.108713585
1964-04-01,4.3,4180.592,1.089068379
1964-07-01,4.2,4245.918,1.56260166
1964-10-01,4.1,4259.046,0.309191087
1965-01-01,3.9,4362.111,2.41990812
1965-04-01,3.8,4417.225,1.263470829
1965-07-01,3.5,4515.427,2.223160468
1965-10-01,3.3,4619.458,2.303901713
1966-01-01,3,4731.888,2.433835311
1966-04-01,2.9,4748.046,0.341470466
1966-07-01,2.9,4788.254,0.846832571
1966-10-01,2.9,4827.537,0.820403429
1967-01-01,3.1,4870.299,0.885793314
1967-04-01,3,4873.287,0.061351469
1967-07-01,2.9,4919.392,0.946076026
1967-10-01,3,4956.477,0.753853322
1968-01-01,3,5057.553,2.039271039
1968-04-01,2.7,5142.033,1.670373004
1968-07-01,2.7,5181.859,0.774518561
1968-10-01,2.6,5202.212,0.392774099
1969-01-01,2.6,5283.597,1.564430669
1969-04-01,2.6,5299.625,0.303353946
1969-07-01,2.8,5334.6,0.659952355
1969-10-01,2.8,5308.556,-0.48820905
1970-01-01,3.3,5300.652,-0.148891714
1970-04-01,3.8,5308.164,0.141718415
1970-07-01,4.2,5357.077,0.921467385
1970-10-01,4.7,5299.672,-1.071573173
1971-01-01,4.9,5443.619,2.716149226
1971-04-01,4.9,5473.059,0.540816688
1971-07-01,4.9,5518.072,0.822446825
1971-10-01,4.9,5531.032,0.234864641
1972-01-01,4.6,5632.649,1.837215912
1972-04-01,4.6,5760.47,2.269287506
1972-07-01,4.5,5814.854,0.944089632
1972-10-01,4.3,5912.22,1.67443585
